year,state,fips,incident_name,value,fipdate
2019,CA,6065,46TH,2019-10-31,60652019-10-31
2018,CA,6089,CARR,2018-08-09,60892018-08-09
2018,CA,6089,CARR,2018-08-10,60892018-08-10
2018,CA,6089,CARR,2018-08-11,60892018-08-11
2018,CA,6089,CARR,2018-08-12,60892018-08-12
2018,CA,6089,CARR,2018-08-13,60892018-08-13
2018,CA,6089,CARR,2018-08-14,60892018-08-14
2018,CA,6089,CARR,2018-08-15,60892018-08-15
2018,CA,6089,CARR,2018-08-16,60892018-08-16
2018,CA,6089,CARR,2018-08-17,60892018-08-17
2018,CA,6089,CARR,2018-08-18,60892018-08-18
2018,CA,6089,CARR,2018-08-19,60892018-08-19
2018,CA,6089,CARR,2018-08-20,60892018-08-20
2018,CA,6089,CARR,2018-08-21,60892018-08-21
2018,CA,6089,CARR,2018-08-22,60892018-08-22
2018,CA,6089,CARR,2018-08-23,60892018-08-23
2018,CA,6089,CARR,2018-08-24,60892018-08-24
2018,CA,6089,CARR,2018-08-25,60892018-08-25
2018,CA,6089,CARR,2018-08-26,60892018-08-26
2018,CA,6089,CARR,2018-08-27,60892018-08-27
2018,CA,6089,CARR,2018-08-28,60892018-08-28
2018,CA,6089,CARR,2018-08-29,60892018-08-29
2018,CA,6089,CARR,2018-08-30,60892018-08-30
2018,CA,6089,CARR,2018-08-31,60892018-08-31
2018,CA,6089,CARR,2018-09-01,60892018-09-01
2018,CA,6065,CRANSTON,2018-08-06,60652018-08-06
2018,CA,6065,CRANSTON,2018-08-07,60652018-08-07
2018,CA,6065,CRANSTON,2018-08-08,60652018-08-08
2018,CA,6065,CRANSTON,2018-08-09,60652018-08-09
2018,CA,6089,DELTA,2018-09-05,60892018-09-05
2018,CA,6089,DELTA,2018-09-06,60892018-09-06
2018,CA,6089,DELTA,2018-09-07,60892018-09-07
2018,CA,6089,DELTA,2018-09-08,60892018-09-08
2018,CA,6089,DELTA,2018-09-09,60892018-09-09
2018,CA,6089,DELTA,2018-09-10,60892018-09-10
2018,CA,6089,DELTA,2018-09-11,60892018-09-11
2018,CA,6089,DELTA,2018-09-12,60892018-09-12
2019,CA,6111,EASY,2019-10-31,61112019-10-31
2019,CA,6111,EASY,2019-11-01,61112019-11-01
2019,CA,6111,EASY,2019-11-02,61112019-11-02
2019,CA,6111,EASY,2019-11-03,61112019-11-03
2019,CA,6111,EASY,2019-11-04,61112019-11-04
2019,CA,6111,EASY,2019-11-05,61112019-11-05
2019,CA,6111,EASY,2019-11-06,61112019-11-06
2019,CA,6037,GETTY,2019-10-28,60372019-10-28
2019,CA,6037,GETTY,2019-10-29,60372019-10-29
2019,CA,6037,GETTY,2019-10-30,60372019-10-30
2019,CA,6037,GETTY,2019-10-31,60372019-10-31
2018,CA,6111,HILL,2018-11-08,61112018-11-08
2018,CA,6111,HILL,2018-11-09,61112018-11-09
2018,CA,6111,HILL,2018-11-10,61112018-11-10
2018,CA,6111,HILL,2018-11-11,61112018-11-11
2018,CA,6111,HILL,2018-11-12,61112018-11-12
2018,CA,6111,HILL,2018-11-13,61112018-11-13
2018,CA,6111,HILL,2018-11-14,61112018-11-14
2018,CA,6111,HILL,2018-11-15,61112018-11-15
2018,CA,6111,HILL,2018-11-16,61112018-11-16
2019,CA,6065,HILL,2019-10-31,60652019-10-31
2018,CA,6089,HIRZ,2018-08-09,60892018-08-09
2018,CA,6089,HIRZ,2018-08-10,60892018-08-10
2018,CA,6089,HIRZ,2018-08-11,60892018-08-11
2018,CA,6089,HIRZ,2018-08-12,60892018-08-12
2018,CA,6089,HIRZ,2018-08-13,60892018-08-13
2018,CA,6089,HIRZ,2018-08-14,60892018-08-14
2018,CA,6089,HIRZ,2018-08-15,60892018-08-15
2018,CA,6089,HIRZ,2018-08-16,60892018-08-16
2018,CA,6089,HIRZ,2018-08-17,60892018-08-17
2018,CA,6089,HIRZ,2018-08-18,60892018-08-18
2018,CA,6089,HIRZ,2018-08-19,60892018-08-19
2018,CA,6089,HIRZ,2018-08-20,60892018-08-20
2018,CA,6089,HIRZ,2018-08-21,60892018-08-21
2018,CA,6089,HIRZ,2018-08-22,60892018-08-22
2018,CA,6089,HIRZ,2018-08-23,60892018-08-23
2018,CA,6089,HIRZ,2018-08-24,60892018-08-24
2018,CA,6089,HIRZ,2018-08-25,60892018-08-25
2018,CA,6089,HIRZ,2018-08-26,60892018-08-26
2018,CA,6089,HIRZ,2018-08-27,60892018-08-27
2018,CA,6089,HIRZ,2018-08-28,60892018-08-28
2018,CA,6089,HIRZ,2018-08-29,60892018-08-29
2018,CA,6089,HIRZ,2018-08-30,60892018-08-30
2018,CA,6089,HIRZ,2018-08-31,60892018-08-31
2018,CA,6089,HIRZ,2018-09-01,60892018-09-01
2018,CA,6089,HIRZ,2018-09-05,60892018-09-05
2018,CA,6089,HIRZ,2018-09-06,60892018-09-06
2018,CA,6089,HIRZ,2018-09-07,60892018-09-07
2018,CA,6089,HIRZ,2018-09-08,60892018-09-08
2018,CA,6089,HIRZ,2018-09-09,60892018-09-09
2018,CA,6089,HIRZ,2018-09-10,60892018-09-10
2018,CA,6089,HIRZ,2018-09-11,60892018-09-11
2018,CA,6089,HIRZ,2018-09-12,60892018-09-12
2018,CA,6065,HOLY,2018-08-06,60652018-08-06
2018,CA,6065,HOLY,2018-08-07,60652018-08-07
2018,CA,6065,HOLY,2018-08-08,60652018-08-08
2018,CA,6065,HOLY,2018-08-09,60652018-08-09
2019,CA,6111,MARIA,2019-10-31,61112019-10-31
2019,CA,6111,MARIA,2019-11-01,61112019-11-01
2019,CA,6111,MARIA,2019-11-02,61112019-11-02
2019,CA,6111,MARIA,2019-11-03,61112019-11-03
2019,CA,6111,MARIA,2019-11-04,61112019-11-04
2019,CA,6111,MARIA,2019-11-05,61112019-11-05
2019,CA,6111,MARIA,2019-11-06,61112019-11-06
2019,CA,6065,RECHE,2019-10-10,60652019-10-10
2019,CA,6065,RECHE,2019-10-11,60652019-10-11
2019,CA,6065,RECHE,2019-10-12,60652019-10-12
2019,CA,6037,SADDLE RIDGE,2019-10-24,60372019-10-24
2019,CA,6037,SADDLE RIDGE,2019-10-25,60372019-10-25
2019,CA,6037,SADDLE RIDGE,2019-10-26,60372019-10-26
2019,CA,6065,SANDALWOOD,2019-10-10,60652019-10-10
2019,CA,6065,SANDALWOOD,2019-10-11,60652019-10-11
2019,CA,6065,SANDALWOOD,2019-10-12,60652019-10-12
2019,CA,6037,TICK,2019-10-24,60372019-10-24
2019,CA,6037,TICK,2019-10-25,60372019-10-25
2019,CA,6037,TICK,2019-10-26,60372019-10-26
2019,CA,6037,TICK,2019-10-28,60372019-10-28
2019,CA,6037,TICK,2019-10-29,60372019-10-29
2019,CA,6037,TICK,2019-10-30,60372019-10-30
2019,CA,6037,TICK,2019-10-31,60372019-10-31
2018,CA,6111,WOOLSEY,2018-11-08,61112018-11-08
2018,CA,6111,WOOLSEY,2018-11-09,61112018-11-09
2018,CA,6111,WOOLSEY,2018-11-10,61112018-11-10
2018,CA,6111,WOOLSEY,2018-11-11,61112018-11-11
2018,CA,6111,WOOLSEY,2018-11-12,61112018-11-12
2018,CA,6111,WOOLSEY,2018-11-13,61112018-11-13
2018,CA,6111,WOOLSEY,2018-11-14,61112018-11-14
2018,CA,6111,WOOLSEY,2018-11-15,61112018-11-15
2018,CA,6111,WOOLSEY,2018-11-16,61112018-11-16
